ticker,as_of,period_type,metric,ref_period,value
NVDA,2026-08-15,estimate,epsEst,FQ2026-07-31,2.0838
NVDA,2026-08-08,estimate,epsEst,FQ2026-07-31,2.08051
NVDA,2026-07-16,estimate,epsEst,FQ2026-07-31,2.07846
NVDA,2026-06-16,estimate,epsEst,FQ2026-07-31,2.07667
NVDA,2026-05-17,estimate,epsEst,FQ2026-07-31,1.9626
NVDA,2026-08-15,estimate,epsEst,FQ2026-10-31,2.35237
NVDA,2026-08-08,estimate,epsEst,FQ2026-10-31,2.34527
NVDA,2026-07-16,estimate,epsEst,FQ2026-10-31,2.33963
NVDA,2026-06-16,estimate,epsEst,FQ2026-10-31,2.33883
NVDA,2026-05-17,estimate,epsEst,FQ2026-10-31,2.19094
NVDA,2026-08-15,estimate,epsEst,FY2027-01-31,8.95773
NVDA,2026-08-08,estimate,epsEst,FY2027-01-31,8.96139
NVDA,2026-07-16,estimate,epsEst,FY2027-01-31,8.94722
NVDA,2026-06-16,estimate,epsEst,FY2027-01-31,8.92355
NVDA,2026-05-17,estimate,epsEst,FY2027-01-31,8.38125
NVDA,2026-08-15,estimate,epsEst,FY2028-01-31,12.79836
NVDA,2026-08-08,estimate,epsEst,FY2028-01-31,12.81462
NVDA,2026-07-16,estimate,epsEst,FY2028-01-31,12.73899
NVDA,2026-06-16,estimate,epsEst,FY2028-01-31,12.64277
NVDA,2026-05-17,estimate,epsEst,FY2028-01-31,11.42982
NVDA,2026-08-15,estimate,epsEstAvg,FQ2026-07-31,2.0838
NVDA,2026-08-15,estimate,epsEstLow,FQ2026-07-31,2.03128
NVDA,2026-08-15,estimate,epsEstHigh,FQ2026-07-31,2.2
NVDA,2026-08-15,estimate,epsEstAnalysts,FQ2026-07-31,40.0
NVDA,2026-08-15,estimate,epsEstGrowth,FQ2026-07-31,0.9846
NVDA,2026-08-15,estimate,epsEstAvg,FQ2026-10-31,2.35237
NVDA,2026-08-15,estimate,epsEstLow,FQ2026-10-31,2.13
NVDA,2026-08-15,estimate,epsEstHigh,FQ2026-10-31,2.59
NVDA,2026-08-15,estimate,epsEstAnalysts,FQ2026-10-31,40.0
NVDA,2026-08-15,estimate,epsEstGrowth,FQ2026-10-31,0.8095
NVDA,2026-08-15,estimate,epsEstAvg,FY2027-01-31,8.95773
NVDA,2026-08-15,estimate,epsEstLow,FY2027-01-31,8.2
NVDA,2026-08-15,estimate,epsEstHigh,FY2027-01-31,9.64866
NVDA,2026-08-15,estimate,epsEstAnalysts,FY2027-01-31,48.0
NVDA,2026-08-15,estimate,epsEstGrowth,FY2027-01-31,0.8779
NVDA,2026-08-15,estimate,epsEstAvg,FY2028-01-31,12.79836
NVDA,2026-08-15,estimate,epsEstLow,FY2028-01-31,9.65
NVDA,2026-08-15,estimate,epsEstHigh,FY2028-01-31,16.19516
NVDA,2026-08-15,estimate,epsEstAnalysts,FY2028-01-31,48.0
NVDA,2026-08-15,estimate,epsEstGrowth,FY2028-01-31,0.42880002
NVDA,2026-08-15,estimate,revEstAvg,FQ2026-07-31,91956584330.0
NVDA,2026-08-15,estimate,revEstLow,FQ2026-07-31,90302000000.0
NVDA,2026-08-15,estimate,revEstHigh,FQ2026-07-31,96655000000.0
NVDA,2026-08-15,estimate,revEstAnalysts,FQ2026-07-31,43.0
NVDA,2026-08-15,estimate,revEstGrowth,FQ2026-07-31,0.96730006
NVDA,2026-08-15,estimate,revEstAvg,FQ2026-10-31,103378458750.0
NVDA,2026-08-15,estimate,revEstLow,FQ2026-10-31,91996000000.0
NVDA,2026-08-15,estimate,revEstHigh,FQ2026-10-31,112149000000.0
NVDA,2026-08-15,estimate,revEstAnalysts,FQ2026-10-31,41.0
NVDA,2026-08-15,estimate,revEstGrowth,FQ2026-10-31,0.8135
NVDA,2026-08-15,estimate,revEstAvg,FY2027-01-31,393928480900.0
NVDA,2026-08-15,estimate,revEstLow,FY2027-01-31,358367000000.0
NVDA,2026-08-15,estimate,revEstHigh,FY2027-01-31,418025459420.0
NVDA,2026-08-15,estimate,revEstAnalysts,FY2027-01-31,53.0
NVDA,2026-08-15,estimate,revEstGrowth,FY2027-01-31,0.8243
NVDA,2026-08-15,estimate,revEstAvg,FY2028-01-31,562143085840.0
NVDA,2026-08-15,estimate,revEstLow,FY2028-01-31,416398000000.0
NVDA,2026-08-15,estimate,revEstHigh,FY2028-01-31,710010000000.0
NVDA,2026-08-15,estimate,revEstAnalysts,FY2028-01-31,55.0
NVDA,2026-08-15,estimate,revEstGrowth,FY2028-01-31,0.42700002
NVDA,2026-08-15,estimate,epsRevUp7,FQ2026-07-31,1.0
NVDA,2026-08-15,estimate,epsRevUp30,FQ2026-07-31,5.0
NVDA,2026-08-15,estimate,epsRevDown7,FQ2026-07-31,0.0
NVDA,2026-08-15,estimate,epsRevDown30,FQ2026-07-31,0.0
NVDA,2026-08-15,estimate,epsRevUp7,FQ2026-10-31,1.0
NVDA,2026-08-15,estimate,epsRevUp30,FQ2026-10-31,5.0
NVDA,2026-08-15,estimate,epsRevDown7,FQ2026-10-31,0.0
NVDA,2026-08-15,estimate,epsRevDown30,FQ2026-10-31,0.0
NVDA,2026-08-15,estimate,epsRevUp7,FY2027-01-31,2.0
NVDA,2026-08-15,estimate,epsRevUp30,FY2027-01-31,4.0
NVDA,2026-08-15,estimate,epsRevDown7,FY2027-01-31,0.0
NVDA,2026-08-15,estimate,epsRevDown30,FY2027-01-31,0.0
NVDA,2026-08-15,estimate,epsRevUp7,FY2028-01-31,2.0
NVDA,2026-08-15,estimate,epsRevUp30,FY2028-01-31,4.0
NVDA,2026-08-15,estimate,epsRevDown7,FY2028-01-31,0.0
NVDA,2026-08-15,estimate,epsRevDown30,FY2028-01-31,0.0
AVGO,2026-08-15,estimate,epsEst,FQ2026-07-31,3.23823
AVGO,2026-08-08,estimate,epsEst,FQ2026-07-31,3.23823
AVGO,2026-07-16,estimate,epsEst,FQ2026-07-31,3.23823
AVGO,2026-06-16,estimate,epsEst,FQ2026-07-31,3.23688
AVGO,2026-05-17,estimate,epsEst,FQ2026-07-31,3.23389
AVGO,2026-08-15,estimate,epsEst,FQ2026-10-31,3.87377
AVGO,2026-08-08,estimate,epsEst,FQ2026-10-31,3.87377
AVGO,2026-07-16,estimate,epsEst,FQ2026-10-31,3.87377
AVGO,2026-06-16,estimate,epsEst,FQ2026-10-31,3.8712
AVGO,2026-05-17,estimate,epsEst,FQ2026-10-31,3.81792
AVGO,2026-08-15,estimate,epsEst,FY2026-10-31,11.62543
AVGO,2026-08-08,estimate,epsEst,FY2026-10-31,11.62543
AVGO,2026-07-16,estimate,epsEst,FY2026-10-31,11.6237
AVGO,2026-06-16,estimate,epsEst,FY2026-10-31,11.61807
AVGO,2026-05-17,estimate,epsEst,FY2026-10-31,11.3812
AVGO,2026-08-15,estimate,epsEst,FY2027-10-31,19.53066
AVGO,2026-08-08,estimate,epsEst,FY2027-10-31,19.49196
AVGO,2026-07-16,estimate,epsEst,FY2027-10-31,19.39578
AVGO,2026-06-16,estimate,epsEst,FY2027-10-31,19.35046
AVGO,2026-05-17,estimate,epsEst,FY2027-10-31,18.0986
AVGO,2026-08-15,estimate,epsEstAvg,FQ2026-07-31,3.23823
AVGO,2026-08-15,estimate,epsEstLow,FQ2026-07-31,3.08
AVGO,2026-08-15,estimate,epsEstHigh,FQ2026-07-31,3.33
AVGO,2026-08-15,estimate,epsEstAnalysts,FQ2026-07-31,37.0
AVGO,2026-08-15,estimate,epsEstGrowth,FQ2026-07-31,0.9161
AVGO,2026-08-15,estimate,epsEstAvg,FQ2026-10-31,3.87377
AVGO,2026-08-15,estimate,epsEstLow,FQ2026-10-31,3.6
AVGO,2026-08-15,estimate,epsEstHigh,FQ2026-10-31,4.12
AVGO,2026-08-15,estimate,epsEstAnalysts,FQ2026-10-31,35.0
AVGO,2026-08-15,estimate,epsEstGrowth,FQ2026-10-31,0.9865
AVGO,2026-08-15,estimate,epsEstAvg,FY2026-10-31,11.62543
AVGO,2026-08-15,estimate,epsEstLow,FY2026-10-31,11.16
AVGO,2026-08-15,estimate,epsEstHigh,FY2026-10-31,12.1445
AVGO,2026-08-15,estimate,epsEstAnalysts,FY2026-10-31,44.0
AVGO,2026-08-15,estimate,epsEstGrowth,FY2026-10-31,0.7046
AVGO,2026-08-15,estimate,epsEstAvg,FY2027-10-31,19.53066
AVGO,2026-08-15,estimate,epsEstLow,FY2027-10-31,16.22
AVGO,2026-08-15,estimate,epsEstHigh,FY2027-10-31,22.01179
