ticker,name,price,marketCap,forwardPE,trailingPE,evEbitda,ps,fcfYield,revGrowth,epsGrowth,grossMargin,opMargin,netMargin,roe,netDebtEbitda,fcf,cash,sector,subindustry,spark,ret1m,ret6m,retYtd
NVDA,NVIDIA Corporation,225.16,5453600260096,17.59288,34.480858,32.677,21.513979,0.8496382355531197,85.2,214.5,74.14499500000001,65.596,62.966,114.28799999999998,-0.2438343463332097,46335873024.0,53171998720,TMT (Tech · Media · Telecom),Semiconductors,182.6;187.7;192.6;177;182.8;182.4;182.9;181.7;172.5;178.5;165;177.2;181.9;189.1;198.1;199.6;208;209;198.2;211.3;220.5;225.1;223.2;214.6;210.9;214.5;208.6;204.9;207.4;208.6;195.7;200.1;195.6;202.8;211.8;202.8;212.1;196.5;195;211.9;224;224.1;225.2,5.9576487821691115,23.31634804557765,19.372316899133658
AVGO,Broadcom Inc.,392.99,1869681393664,20.121695,65.38934,45.503,24.775478,1.455448461979523,47.9,85.39999999999999,76.28399999999999,48.988,38.848,37.280998,1.0759196582890276,27212249088.0,19627999232,TMT (Tech · Media · Telecom),Semiconductors,324;332.8;324.3;318.4;316.4;344.5;334.7;320.1;309.4;318.3;292.9;314.1;350.1;379.1;397.8;401.5;422.1;404.8;415.8;411.9;418.6;424.5;417.1;421.3;446.1;478.5;396;385;376.1;392.1;378.9;377.8;373.9;401.1;389.1;370.8;396.8;383.2;387.8;418.2;427.8;416;393,-0.32718082299781903,21.30197017444788,13.468061737570824
AMD,"Advanced Micro Devices, Inc.",514.39,839728824320,33.272594,131.55754,86.895,20.329954,1.0528993875087849,50.1,159.5,55.724,17.25,15.577,10.196,-0.9239698503655697,8841499648.0,13111000064,TMT (Tech · Media · Telecom),Semiconductors,207.3;203.4;213.8;200.2;202.1;202.7;197.7;196.3;201.3;220.3;196;217.5;231.8;246.8;278.3;284.5;347.8;337.1;341.5;408.5;448.3;424.1;447.6;503.9;516.1;542.5;490.3;488.5;507.3;551.6;532.6;580.9;552;546.7;548.1;495.8;552.3;495;485.4;518.6;483.4;482.9;514.4,-2.787541972194252,148.11402492573004,130.18302762723678
QCOM,QUALCOMM Incorporated,165.79,174079492096,16.250814,18.947428,15.092,3.9501576,5.88294481141545,-4.0,-23.0,54.226,18.528,21.013,33.754003,0.5805483687045312,10241000448.0,8304000000,TMT (Tech · Media · Telecom),Semiconductors,139.3;139.9;143.3;140.9;138.1;137.6;130.7;131.1;129.4;129.9;126.6;126.3;127;130.8;134;135.1;148.3;155.4;167.8;201.8;209.5;200.7;201.8;247.9;250.1;249.1;217.8;203;214.1;221.9;204.9;184.8;186.5;191.1;178.1;171.8;175.6;170;151.6;162.7;167.9;163.1;165.8,-6.849085702905244,19.026803784901468,-3.184926264269583
TXN,Texas Instruments Incorporated,279.58,255325782016,26.870161,42.55403,27.561,13.125265,1.388520195652563,22.8,51.800000000000004,58.325,42.576997999999996,31.111,35.176,0.7406512403361345,3545250048.0,7000999936,TMT (Tech · Media · Telecom),Semiconductors,223.9;215.8;211.2;210;200.3;194.2;188.1;192.5;185.3;194.8;184.5;192.9;206.8;214.5;220.8;230.8;274.3;266.5;278;283.8;293.7;301.2;303.3;323.2;304.1;307;289.4;295.6;304.2;330.6;310.2;296.6;302;307;304;282.6;292.7;278;277.3;283.6;286.1;276.6;279.6,-6.699603090664241,24.88471925370788,60.141299753563615
INTC,Intel Corporation,102.5,541825761280,50.241898,,32.863,9.500381,0.8981439266571153,25.4,,38.873002,12.189999,-19.794,-10.715,1.2357482789016103,4866375168.0,29727000576,TMT (Tech · Media · Telecom),Semiconductors,46.79;44.62;46.12;45.61;45.58;45.58;45.25;44.06;43.87;47.18;41.19;50.38;58.95;65.18;68.5;66.26;82.54;94.75;95.78;109.6;120.6;108.8;119;123.5;114.7;112.7;110.3;117;117.1;140.9;132.9;139.6;122.2;112.5;107.8;95.04;102.6;91.67;91.13;100.9;101.7;100.9;102.5,-0.47577228268096405,119.0638982569141,160.28440126933128
MU,"Micron Technology, Inc.",971.66,1097386149100,6.2732425,21.978285,15.798,12.156171079156207,0.6961542008039182,345.7,1368.5,72.56899999999999,80.370003,55.906,66.63799999999999,-0.287971626575836,7639499776.0,26022000640,TMT (Tech · Media · Telecom),Semiconductors,411.4;417.1;417.8;412.1;400.5;389.1;405.1;461.4;422.7;381.9;321.8;366.2;406.7;426.5;457.2;449.3;496.6;518.4;576.4;646.5;766.5;724.5;731.9;895.7;970.9;1079;949.1;995.7;1021;1211;1213;1154;984.8;991.6;983.1;849;959.5;900.2;874.7;892.7;877.6;911.3;971.7,7.451225468293021,136.17005983813272,208.22954738321937
ADI,"Analog Devices, Inc.",389.39,189666822505,25.851841,57.773003,31.7,14.887279834501852,2.0398689517234923,37.2,110.5,64.491,38.076,26.007998,9.639000000000001,0.8569010278224862,3868954624.0,3439308032,TMT (Tech · Media · Telecom),Semiconductors,335.1;343.3;354;353.7;340.6;318.8;306.4;312.8;308.6;321.2;302.3;317.5;345.3;349.1;352.8;374.2;398.5;388.2;395.9;407.4;418.5;416.3;397;418.8;412.7;437.7;403.9;412.1;416;445.5;417.9;397.2;388.8;393.6;392.8;375.4;386.7;371.9;366.7;380.3;389.9;384.4;389.4,-0.40156968512237157,16.190798116183046,43.084375330810644
NXPI,NXP Semiconductors N.V.,234.71,59185455104,12.970908,46.754982,13.28,4.4888473,6.00654342820072,19.5,72.6,56.102,30.406,22.564,27.921000000000003,1.529992004799141,3555000064.0,3222000128,TMT (Tech · Media · Telecom),Semiconductors,242.3;230.1;232.6;225.1;214.5;203.5;189.6;192.4;189.7;196.9;186.8;193.9;203.6;207.3;213;223.7;243.2;288.3;289.8;289.2;293.2;290.5;309.1;331.5;320.3;320.8;300.1;301.5;301.9;322.1;298.6;281;280.5;290.5;283.9;266.5;278.8;267.7;245.2;237.6;239.7;233.4;234.7,-15.877567650340163,-3.150843097610534,6.981379607586802
MRVL,"Marvell Technology, Inc.",222.02,199272824832,35.565994,76.29553,72.145,22.859991,1.1389912788728245,27.6,-80.4,51.50299699999999,14.479999,28.986,16.028000000000002,0.5286135693215339,2269700096.0,3843599872,TMT (Tech · Media · Telecom),Semiconductors,78.55;79.55;78.33;81.63;78.03;92.58;87.6;90.72;87.84;98.38;87.74;107;114.4;131.3;133.3;151.3;164.3;156.5;163.6;160;164.5;176.8;186.8;208.2;204.9;301.6;288.8;280.6;278.6;307.8;281.2;297.8;249.2;243.2;222.4;188.7;211;189.2;183.3;218.6;218.7;217.1;222,7.640846594273842,182.64334988526957,148.73679809924596
