ticker,as_of,kind,holder,shares,value,pct_held,pct_change
NVDA,2026-06-30,institution,Blackrock Inc.,1941918386,437242350903,0.0802,0.0085
NVDA,2026-06-30,institution,Vanguard Capital Management LLC,1540816358,346930216809,0.0637,0.0015
NVDA,2026-06-30,institution,"FMR, LLC",1026051548,231025770305,0.0424,0.0324
NVDA,2026-06-30,institution,State Street Corporation,1009783437,227362842372,0.0417,0.016
NVDA,2026-06-30,institution,"Geode Capital Management, LLC",606216492,136495707558,0.0251,0.0081
NVDA,2026-06-30,institution,Vanguard Portfolio Management LLC,517816949,116591666133,0.0214,0.0150999995
NVDA,2026-06-30,institution,JPMORGAN CHASE & CO,449404578,101187936428,0.0186,0.0036000002
NVDA,2026-03-31,institution,Price (T.Rowe) Associates Inc,370102688,83332322585,0.0153,-0.0083
NVDA,2026-06-30,institution,Morgan Stanley,356420089,80251548544,0.0147,0.039300002
NVDA,2026-03-31,institution,Invesco Ltd.,327497096,73739247334,0.0135,-0.0396
NVDA,2026-03-31,fund,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,733080870,165060491373,0.030299999,0.0105
NVDA,2026-03-31,fund,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,617520783,139040981761,0.0255,0.0078
NVDA,2026-06-30,fund,iShares Trust-iShares Core S&P 500 ETF,334217794,75252479720,0.0138,0.043899998
NVDA,2026-06-30,fund,Fidelity Concord Street Trust-Fidelity 500 Index Fund,310708269,69959074985,0.0128,-0.0008
NVDA,2026-06-30,fund,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,292678297,65899446424,0.0121,-0.0013
NVDA,2026-03-31,fund,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,242721072,54651077460,0.01,0.0078
NVDA,2026-06-30,fund,"Invesco QQQ Trust, Series 1",186075994,41896871490,0.0077,-0.0249
NVDA,2026-03-31,fund,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,137012483,30849731174,0.0057,-0.0175
NVDA,2026-05-31,fund,VANGUARD WORLD FUND-Vanguard Information Technology Index Fund,136877851,30819417432,0.0057,0.0904
NVDA,2026-06-30,fund,Growth Fund of America,97864435,22035156542,0.004,-0.0586
AVGO,2026-06-30,institution,Blackrock Inc.,398213826,156494047590,0.0837,0.0318
AVGO,2026-06-30,institution,Vanguard Capital Management LLC,309168582,121500158020,0.065,0.0037
AVGO,2026-06-30,institution,State Street Corporation,196900541,77379941684,0.0414,0.028800001
AVGO,2026-06-30,institution,"FMR, LLC",144359173,56731709987,0.030299999,0.16309999
AVGO,2026-06-30,institution,Vanguard Portfolio Management LLC,127001513,49910323353,0.026700001,-0.0111
AVGO,2026-06-30,institution,Capital World Investors,121892859,47902673468,0.0256,0.049099997
AVGO,2026-06-30,institution,"Geode Capital Management, LLC",116394795,45741989350,0.024500001,0.0185
AVGO,2026-06-30,institution,Capital Research Global Investors,113126312,44457508248,0.0238,-0.025
AVGO,2026-06-30,institution,JPMORGAN CHASE & CO,95016148,37340395074,0.02,0.0352
AVGO,2026-03-31,institution,Price (T.Rowe) Associates Inc,84470754,33196160789,0.0178,-0.0126
AVGO,2026-03-31,fund,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,150562938,59169727534,0.031600002,0.0145000005
AVGO,2026-03-31,fund,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,120487252,47350283986,0.0253,0.0117999995
AVGO,2026-06-30,fund,iShares Trust-iShares Core S&P 500 ETF,65333181,25675286163,0.0137,0.045900002
AVGO,2026-06-30,fund,Fidelity Concord Street Trust-Fidelity 500 Index Fund,60737763,23869332888,0.0128,0.001
AVGO,2026-06-30,fund,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,57215884,22485269694,0.012,0.00059999997
