ticker,as_of,insider,position,transaction,shares,value,ownership
NVDA,2026-08-10,NORA JOHNSON SUZANNE M,Director,Stock Award(Grant) at price 0.00 per share.,2410,0.0,D
NVDA,2026-08-05,COXE TENCH C,Director,Stock Gift at price 0.00 per share.,500000,0.0,I
NVDA,2026-07-01,COXE TENCH C,Director,Stock Gift at price 0.00 per share.,500000,0.0,I
NVDA,2026-06-25,NEAL STEPHEN C.,Director,Stock Award(Grant) at price 0.00 per share.,1211,0.0,D
NVDA,2026-06-25,DABIRI JOHN O,Director,Stock Award(Grant) at price 0.00 per share.,1211,0.0,D
NVDA,2026-06-25,SHAH AARTI S,Director,Stock Award(Grant) at price 0.00 per share.,1211,0.0,D
NVDA,2026-06-25,STEVENS MARK A,Director,Stock Award(Grant) at price 0.00 per share.,1211,0.0,D
NVDA,2026-06-25,JONES HARVEY C JR.,Director,Stock Award(Grant) at price 0.00 per share.,1211,0.0,D
NVDA,2026-06-25,COXE TENCH C,Director,Stock Award(Grant) at price 0.00 per share.,1211,0.0,D
NVDA,2026-06-25,LORA MELISSA,Director,Stock Award(Grant) at price 0.00 per share.,1211,0.0,D
NVDA,2026-06-25,SEAWELL A BROOKE,Director,Stock Award(Grant) at price 0.00 per share.,1211,0.0,D
NVDA,2026-06-25,HUDSON BEACH DAWN E,Director,Stock Award(Grant) at price 0.00 per share.,1211,0.0,D
NVDA,2026-06-18,STEVENS MARK A,Director,Sale at price 209.70 - 210.44 per share.,885000,185999938.0,I
NVDA,2026-06-16,HUANG JEN-HSUN,Chief Executive Officer,Stock Gift at price 0.00 per share.,400000,0.0,I
NVDA,2026-06-08,GAWEL SCOTT,Officer,Stock Award(Grant) at price 0.00 per share.,59509,0.0,D
NVDA,2026-06-04,STEVENS MARK A,Director,Stock Gift at price 0.00 per share.,307500,0.0,I
NVDA,2026-06-04,STEVENS MARK A,Director,Sale at price 217.66 - 222.38 per share.,1000000,221102600.0,I
NVDA,2026-06-03,NEAL STEPHEN C.,Director,Sale at price 215.73 per share.,15500,3343863.0,I
NVDA,2026-05-27,DABIRI JOHN O,Director,Sale at price 214.00 per share.,625,133750.0,D
NVDA,2026-03-20,ROBERTSON DONALD F JR,Officer,Sale at price 172.58 - 177.31 per share.,5396,942944.0,D
NVDA,2026-03-20,KRESS COLETTE M.,Chief Financial Officer,Sale at price 171.97 - 177.51 per share.,62650,10956706.0,D/I
NVDA,2026-03-20,STEVENS MARK A,Director,Sale at price 172.61 - 174.57 per share.,221682,38502524.0,I
NVDA,2026-03-19,SHAH AARTI S,Director,Sale at price 176.27 - 177.73 per share.,19000,3357549.0,D
NVDA,2026-03-18,PURI AJAY K,Officer,Sale at price 181.31 - 182.94 per share.,300000,54676140.0,I
NVDA,2026-03-18,HUANG JEN-HSUN,Chief Executive Officer,Stock Gift at price 0.00 per share.,58962602,0.0,I
